The Logical Song
The Logical Song - Remastered 2010	Supertramp	Breakfast In America (Deluxe Edition)	spotify:track:6mHOcVtsHLMuesJkswc0GZ
Marooned - 2006 Remastered Version	Wire	Chairs Missing	spotify:track:2wqyUVbcUr5WZSXRSqbzIt
Sand in My Joints - 2006 Remastered Version	Wire	Chairs Missing	spotify:track:44e4nrz3QBTLrM7PNfJOD1
Being Sucked in Again - 2006 Remastered Version	Wire	Chairs Missing	spotify:track:5uvsptNfNKPLR2rRZP53nv
Heartbeat - 2006 Remastered Version	Wire	Chairs Missing	spotify:track:2I4rmCub7BpmTay7eioktb
Mercy - 2006 Remastered Version	Wire	Chairs Missing	spotify:track:4jyZHdfC75dIxqJgovAYKv
Outdoor Miner - 2006 Remastered Version	Wire	Chairs Missing	spotify:track:4Lk86divN6elNG9ShrqSuZ
I Am the Fly - 2006 Remastered Version	Wire	Chairs Missing	spotify:track:7FMCSGCHA6hvU3A4NCxEqE
I Feel Mysterious Today - 2006 Remastered Version	Wire	Chairs Missing	spotify:track:78GsxqFGCjl6WWZyeP4Ha0
From The Nursery - 2006 Remastered Version	Wire	Chairs Missing	spotify:track:6wZheTBkUV7wfkH3aFwRlu
Used To - 2006 Remastered Version	Wire	Chairs Missing	spotify:track:6d6rnXGS8vBCJe8P7ctagN
Too Late - 2006 Remastered Version	Wire	Chairs Missing	spotify:track:2eZ8lBCC0oPjNLIE2NxiJA
Reuters - 2006 Remastered Version	Wire	Pink Flag	spotify:track:0T3uPDgL6iErias0LLfJIE
Field Day for the Sundays - 2006 Remastered Version	Wire	Pink Flag	spotify:track:1MQQfz3N6AysgAvbHDHhCa
Three Girl Rhumba - 2006 Remastered Version	Wire	Pink Flag	spotify:track:0bN5W8EhIJhh6zvgeNG57J
Ex Lion Tamer - 2006 Remastered Version	Wire	Pink Flag	spotify:track:5bb71zUIXMD6fsnHBLaoQ6
Lowdown - 2006 Remastered Version	Wire	Pink Flag	spotify:track:2fb7dWrEsTKuPWohoaQHa5
Start to Move - 2006 Remastered Version	Wire	Pink Flag	spotify:track:6ZzgkNscFRe9PiryaeUVwo
Brazil - 2006 Remastered Version	Wire	Pink Flag	spotify:track:5qdsapFwiOWNGh5pFF6ieB
It's So Obvious - 2006 Remastered Version	Wire	Pink Flag	spotify:track:4ospwieFO34SwD90nXqR6r
Surgeon's Girl - 2006 Remastered Version	Wire	Pink Flag	spotify:track:5Afr2zFhd1HPMtAHwdakUx
Pink Flag - 2006 Remastered Version	Wire	Pink Flag	spotify:track:6VvpBt95FoPF01YBqv0vV1
The Commercial - 2006 Remastered Version	Wire	Pink Flag	spotify:track:0mi8mZwiirZfF87H99gXel
Straight Line - 2006 Remastered Version	Wire	Pink Flag	spotify:track:6X7CDzfm1Nq7qZwmRaSUWS
106 Beats That - 2006 Remastered Version	Wire	Pink Flag	spotify:track:6tPUscoU7EpieQLHBBWd0q
Mr Suit - 2006 Remastered Version	Wire	Pink Flag	spotify:track:0Irgm60IPuidNzELI4fMho
Strange - 2006 Remastered Version	Wire	Pink Flag	spotify:track:0GWyL6sgPd7g6yppYNMLaG
Fragile - 2006 Remastered Version	Wire	Pink Flag	spotify:track:55tzW3Ar6PPmh1rNYBqE3l
Mannequin - 2006 Remastered Version	Wire	Pink Flag	spotify:track:5LEwYNnwG1RSVseSmMZQpo
Different to Me - 2006 Remastered Version	Wire	Pink Flag	spotify:track:5OEtdILhohC7GCVio8Uboq
Champs - 2006 Remastered Version	Wire	Pink Flag	spotify:track:6Slsb9yR7U2gvgw4GEGkbV
Feeling Called Love - 2006 Remastered Version	Wire	Pink Flag	spotify:track:3dCgliUWlFmR5pAoBilndg
1 2 X U - 2006 Remastered Version	Wire	Pink Flag	spotify:track:2X7Yq4DYQmEx1bZ1bYjlYx
See No Evil	Television	Marquee Moon	spotify:track:2OaXmeYBJ0hcTmS3kxjJOx
Venus	Television	Marquee Moon	spotify:track:3x0iCzjgf0v9lnwvAhU9P2
Friction	Television	Marquee Moon	spotify:track:7wfvl1kiZJNvhx6HNTyefX
Marquee Moon	Television	Marquee Moon	spotify:track:7Me0vOSlJfaPY7Pc4GeItd
Elevation	Television	Marquee Moon	spotify:track:1pimWzwUERYZbAFr5tL0Xl
Guiding Light	Television	Marquee Moon	spotify:track:6ZHa4WN0lqua4sQHRQFpkc
Prove It	Television	Marquee Moon	spotify:track:3aPjLBWsrqTetCn3QcLSuK
Torn Curtain	Television	Marquee Moon	spotify:track:7p0Pk7IJw1c494Qz5lXopE
The Classical	The Fall	Hex Enduction Hour	spotify:track:4NGX5Xbzdhl4UT3HGqE9ww
Jawbone and the Air-Rifle	The Fall	Hex Enduction Hour	spotify:track:4P0txJ1BUEUHusPycTzOYo
Hip Priest	The Fall	Hex Enduction Hour	spotify:track:1vgEZ8unSRfF3N1eThUka2
Fortress/Deer Park	The Fall	Hex Enduction Hour	spotify:track:2PKRL5MEBk4OOSh504UcYu
Mere Pseud Mag. Ed.	The Fall	Hex Enduction Hour	spotify:track:1NOuCq9AEHvaVEduZoNgCC
Winter (Hostel-Maxi)	The Fall	Hex Enduction Hour	spotify:track:5dG1WYNcgWqlLD4NugnYAy
Winter 2	The Fall	Hex Enduction Hour	spotify:track:5lMiP9ox8fXGXbHIVs1Ron
Just Stop S'ways	The Fall	Hex Enduction Hour	spotify:track:08YLTxGhYhN40U9PyhvtUW
Who Makes the Nazis?	The Fall	Hex Enduction Hour	spotify:track:7rvuBnKaL0w6TUgi0MT92j
Iceland	The Fall	Hex Enduction Hour	spotify:track:33yQNBQQMLSTjBUfT5W6kf
And This Day	The Fall	Hex Enduction Hour	spotify:track:2ssz0ujcJlKkNWTNcA6D6R
Just Like Honey	The Jesus and Mary Chain	Psychocandy	spotify:track:4E6YM4V7Kz6zpbiNsliwEl
The Living End	The Jesus and Mary Chain	Psychocandy	spotify:track:3xg4YGdLrf7lfZv0GBKbHf
Taste the Floor	The Jesus and Mary Chain	Psychocandy	spotify:track:7DwSIfvDNZo4RslGgQNzmw
The Hardest Walk	The Jesus and Mary Chain	Psychocandy	spotify:track:70kEZ0IwNmLf0vxQ7EzGCg
Cut Dead	The Jesus and Mary Chain	Psychocandy	spotify:track:71ipVnuH2x4QCIjfvNYQCB
In a Hole	The Jesus and Mary Chain	Psychocandy	spotify:track:30CB7otbptPUIRCB68nW1f
Taste of Cindy	The Jesus and Mary Chain	Psychocandy	spotify:track:2CFbsphaLiAoayu8nMfCwf
Never Understand	The Jesus and Mary Chain	Psychocandy	spotify:track:3tArKAiS8FGNpU9q3H2Iba
Inside Me	The Jesus and Mary Chain	Psychocandy	spotify:track:0G4vmlGLm7Jw1Y5Vu9kN4e
Sowing Seeds	The Jesus and Mary Chain	Psychocandy	spotify:track:3Xq90u65Zjd8U5oZBvhCsx
My Little Underground	The Jesus and Mary Chain	Psychocandy	spotify:track:4wTHhf4uK520pPZymrHa2G
You Trip Me Up	The Jesus and Mary Chain	Psychocandy	spotify:track:2FODdpnPyXL6lieLuH6JKs
Something's Wrong	The Jesus and Mary Chain	Psychocandy	spotify:track:2PYEXCDGOg4xhWnSVdObti
It's So Hard	The Jesus and Mary Chain	Psychocandy	spotify:track:1f5kATU6mFl7xicJ6Pogro
Non-Alignment Pact	Pere Ubu	Elitism for the People 1975-1978 (Sampler)	spotify:track:0WWmHtyxAuxnuACtwAJMxA
Modern Dance	Pere Ubu	Elitism for the People 1975-1978 (Sampler)	spotify:track:2qOfTfVA5m7zEkMZBaSxF9
Street Waves	Pere Ubu	Elitism for the People 1975-1978 (Sampler)	spotify:track:4ML4hPAYWyOfsGdufjBrmL
Navvy	Pere Ubu	Elitism for the People 1975-1978 (Sampler)	spotify:track:3M6xOmPEaw6r9rWMCmN3Se
On the Surface	Pere Ubu	Elitism for the People 1975-1978 (Sampler)	spotify:track:7gp6wfXBvHmxa7peWFYOMd
Dub Housing	Pere Ubu	Elitism for the People 1975-1978 (Sampler)	spotify:track:2pEZAI8fI5Cr9uwxCn0aT1
30 Seconds Over Tokyo	Pere Ubu	Elitism for the People 1975-1978 (Sampler)	spotify:track:5pQEwrQFzGD3rXxZj9GVXH
Heart of Darkness	Pere Ubu	Elitism for the People 1975-1978 (Sampler)	spotify:track:2eJio1YcMR5Jlrt2v8CMNg
Final Solution	Pere Ubu	Elitism for the People 1975-1978 (Sampler)	spotify:track:3Wi1ZEd9SJTN90Fr4NyFhQ
D.'s Car Jam / Anxious Mo-Fo	Minutemen	Double Nickels on the Dime	spotify:track:7uZoHcTmsCn73ed2NedThJ
Theatre Is the Life of You	Minutemen	Double Nickels on the Dime	spotify:track:7l5kOMmACRRDCz2fmGTCtV
Viet Nam	Minutemen	Double Nickels on the Dime	spotify:track:21vp1orbqySVyww9ngW44w
Cohesion	Minutemen	Double Nickels on the Dime	spotify:track:51NHmSOPGDM5zGVooMEDRm
It's Expected I'm Gone	Minutemen	Double Nickels on the Dime	spotify:track:3bbVPVAL3ulmu3kNGJ9EDF
#1 Hit Song	Minutemen	Double Nickels on the Dime	spotify:track:60nriFcKARUpnYksJkDqJR
Two Beads at the End	Minutemen	Double Nickels on the Dime	spotify:track:51MMeFinCcfpGEn8fUga0M
Do You Want New Wave or Do You Want the Truth	Minutemen	Double Nickels on the Dime	spotify:track:5anmC2NmiEOlfp5ahKxKia
Don't Look Now	Minutemen	Double Nickels on the Dime	spotify:track:2xUVQylqgrbkwUnRQyutKG
Shit from an Old Notebook	Minutemen	Double Nickels on the Dime	spotify:track:2z2qTST29C0jxdCGjlqVNE
Nature Without Man	Minutemen	Double Nickels on the Dime	spotify:track:6nT02nLUsL3Xc1LRPzlHsQ
One Reporters Opinion	Minutemen	Double Nickels on the Dime	spotify:track:60UJ75pY9YaL7qpT2KKT3h
Political Song for Michael Jackson to Sing	Minutemen	Double Nickels on the Dime	spotify:track:2hPOhalhnij5ei9Y3VBgBQ
Maybe Partying Will Help	Minutemen	Double Nickels on the Dime	spotify:track:3aXYVBh5xgdHwRbkVrYf5T
Toadies	Minutemen	Double Nickels on the Dime	spotify:track:3rlBU6SOIIDpK9UIItQvWA
Retreat	Minutemen	Double Nickels on the Dime	spotify:track:3W73708ULWFAdR5mtUaJYT
The Big Foist	Minutemen	Double Nickels on the Dime	spotify:track:1lLn8bE7aM5TSjYI1mQheE
God Bows to Math	Minutemen	Double Nickels on the Dime	spotify:track:5LkBMcncPetiP8za7XdAGy
Corona	Minutemen	Double Nickels on the Dime	spotify:track:2LUVo82IKIpCuBNSaqF0G8
The Glory of Man	Minutemen	Double Nickels on the Dime	spotify:track:7fwuT8n8FPJGseqr38zJtE
Take 5, D.	Minutemen	Double Nickels on the Dime	spotify:track:2yDjtl4TU5z77W2MfL3ejK
My Heart and the Real World	Minutemen	Double Nickels on the Dime	spotify:track:0A2C5eJzfGGnDtwRqby1LD
History Lesson Part 2	Minutemen	Double Nickels on the Dime	spotify:track:45fq6kIQtooot7WVRsXAum
You Need the Glory	Minutemen	Double Nickels on the Dime	spotify:track:2D3KQnbneZ1WI02xDal8iN
The Roar of the Masses Could Be Farts	Minutemen	Double Nickels on the Dime	spotify:track:74PzFTj0YKQhtESkU5VrfF
West Germany	Minutemen	Double Nickels on the Dime	spotify:track:3R6jsQgcGKwYHTYHtoTmU8
The Politics of Time	Minutemen	Double Nickels on the Dime	spotify:track:4X2cqABozX3BgzS7G4TmUN
Themselves	Minutemen	Double Nickels on the Dime	spotify:track:0jwiakOoVQkolSUVTnehVs
Please Don't Be Gentle with Me	Minutemen	Double Nickels on the Dime	spotify:track:3aAW52pqLhpZwZQqZocRFU
Nothing Indeed	Minutemen	Double Nickels on the Dime	spotify:track:5y41sQIB4ukaYycIvNO0Pp
No Exchange	Minutemen	Double Nickels on the Dime	spotify:track:4V83QW8mavnEKyjAhcVp20
There Ain't Shit on T.V. Tonight	Minutemen	Double Nickels on the Dime	spotify:track:64H5mnCQXLDzxTlzuisN73
This Ain't No Picnic	Minutemen	Double Nickels on the Dime	spotify:track:3Yu5i8Jwq2anl6mMcKTRge
Spillage	Minutemen	Double Nickels on the Dime	spotify:track:0aocsnZlGirqzJSbisPa15
Untitled Song for Latin America	Minutemen	Double Nickels on the Dime	spotify:track:624TuCJS0AmQEpaDUNkAnm
Jesus and Tequila	Minutemen	Double Nickels on the Dime	spotify:track:1zWKWdQLKZhAON3ZjxlOnf
June 16th	Minutemen	Double Nickels on the Dime	spotify:track:3sglxsW7n68vK0G8140SA1
Storm in My House	Minutemen	Double Nickels on the Dime	spotify:track:5nGWMBcoKyI31X1bAkEwXJ
Martin's Story	Minutemen	Double Nickels on the Dime	spotify:track:2SvYlUac45Z5gFRdJSjMNz
Dr. Wu	Minutemen	Double Nickels on the Dime	spotify:track:4GqCCrm096KlucWDhXiGYN
The World According to Nouns	Minutemen	Double Nickels on the Dime	spotify:track:07GDrCg4yZe0hmksXD3nRh
Love Dance	Minutemen	Double Nickels on the Dime	spotify:track:3FEgOe4ms9sIpxmCSqeF9d
Three Car Jam	Minutemen	Double Nickels on the Dime	spotify:track:1PfIUKoQPM0aHlqSpyR8j3
Secrets	Mission Of Burma	vs.	spotify:track:4m8UrR2zkvJPyosu9X9roE
Train	Mission Of Burma	vs.	spotify:track:0yf39QCshAh2DB9Kyddk9X
Trem Two	Mission Of Burma	vs.	spotify:track:729fuz26uFFzeTGwiqVGbZ
New Nails	Mission Of Burma	vs.	spotify:track:0IUZR4cfxaCOEBaQ6EbBsP
Dead Pool	Mission Of Burma	vs.	spotify:track:1JzIthytldTVgD7gn7iw9E
Learn How	Mission Of Burma	vs.	spotify:track:5Ueyf1MNQW5KYPlA0owQ6B
Mica	Mission Of Burma	vs.	spotify:track:5D1zqA5MWGf2SRQWfyQmip
Weatherbox	Mission Of Burma	vs.	spotify:track:69dSnIVeRuJLiRtCRmqKb8
The Ballad of Johnny Burma	Mission Of Burma	vs.	spotify:track:7kNiQt36vRRAhBo58z46l3
Einstein's Day	Mission Of Burma	vs.	spotify:track:1kZdqeQbfJvh8tR9uSn5vB
Fun World	Mission Of Burma	vs.	spotify:track:635E9wWOTH59RcjdrmgTF7
That's How I Escaped My Certain Fate	Mission Of Burma	vs.	spotify:track:7EoK0FmkAsEdVejoPSOFRk
Laugh the World Away	Mission Of Burma	vs.	spotify:track:3gdSmnLLiS2adcPgY0WMzE
Forget	Mission Of Burma	vs.	spotify:track:5HDFSE6fAgpYxZEYuF8Kg4
Progress	Mission Of Burma	vs.	spotify:track:2xNLDZpPVpkNdaZV52b5I7
OK/No Way	Mission Of Burma	vs.	spotify:track:0i9XHgFV6xCiKIwu8eS9zF
Academy Fight Song	Mission Of Burma	Signals, Calls and Marches	spotify:track:41BkhNoTpxX8CrGzOiRd7W
Max Ernst	Mission Of Burma	Signals, Calls and Marches	spotify:track:5oY6oukmJN59ixn1yv74P8
Devotion	Mission Of Burma	Signals, Calls and Marches	spotify:track:0H24FnpuB0nu0huwThijux
Execution	Mission Of Burma	Signals, Calls and Marches	spotify:track:6SY6nMEP7RK3XodKI8uJW4
That's When I Reach For My Revolver	Mission Of Burma	Signals, Calls and Marches	spotify:track:5QAQxxN163HxD1uU0BrMYM
Outlaw	Mission Of Burma	Signals, Calls and Marches	spotify:track:0exDaWLUyIIAlg0YsBqjms
Fame And Fortune	Mission Of Burma	Signals, Calls and Marches	spotify:track:5wjAzIV2CuH8jYPRldWd17
This Is Not A Photograph	Mission Of Burma	Signals, Calls and Marches	spotify:track:5CBWM229019nLkYYv38zNC
Red	Mission Of Burma	Signals, Calls and Marches	spotify:track:6wqKYMqdK5Z9KaCo77amzV
All World Cowboy Romance	Mission Of Burma	Signals, Calls and Marches	spotify:track:6yGRchcVKTJS41znDVixpm
Navvy	Pere Ubu	Dub Housing	spotify:track:7zarBl5ddnKYlinGMMWuSA
On the Surface	Pere Ubu	Dub Housing	spotify:track:4wyJ4YyUMnLHhgD1Lq7E2M
Dub Housing	Pere Ubu	Dub Housing	spotify:track:6Gi7twZF70Ux8taa9frcZ4
Caligari's Mirror	Pere Ubu	Dub Housing	spotify:track:4i5d7IP8FdVrGxIipwO3gA
Thriller!	Pere Ubu	Dub Housing	spotify:track:4jZu4RWE0cTw33KA9Axw5Q
I, Will Wait	Pere Ubu	Dub Housing	spotify:track:6DPt9gnFTOaORqsbhVgJvG
Drinking Wine Spodyody	Pere Ubu	Dub Housing	spotify:track:1YyKLQi6y09C01ZV9IngAO
(Pa) Ubu Dance Party	Pere Ubu	Dub Housing	spotify:track:4MJC44MTRW3yNWMoVqkNy6
Blow Daddy-O	Pere Ubu	Dub Housing	spotify:track:5eS23HW99C0ZicWvOKLTDr
Codex	Pere Ubu	Dub Housing	spotify:track:0CXFJyWqJypZeXhX8kjpn6
Futures And Pasts	The Fall	Damaged Goods: Post Punk Sounds	spotify:track:0trS9V3wUxYmnH31FkPpRu

covers
Time After Time	Iron & Wine	Time After Time	spotify:track:5kOBEsqVNwi4udPRbagNIV
Friday I'm in Love	Yo La Tengo	Stuff Like That There	spotify:track:6yH4PtEs8t43GkU7DVORaN
Sweet Child O' Mine	Taken By Trees	Sweet Child o’ Mine	spotify:track:16i6f7yJWs1j67fxBjfc7z
1979	Freedom Fry	1979	spotify:track:2KSezpA4CZxv1RkQvA1jXE
Save It For Later - Live	Pete Townshend	Deep End Live!	spotify:track:0im7UU71hGL0xvehl0WEdS
Drain You	Horse Feathers	Drain You b/w Bonnet of Briars	spotify:track:2DpRkK8BYos1hDNuNlpwHu
This Woman's Work	Greg Laswell	Covers	spotify:track:0J9e43QjshiuFc6whszKZS
Tonight, Tonight	Passion Pit	Tonight, Tonight	spotify:track:6F3Zu1SBa0duBomvXmWUCo
Girls Just Want To Have Fun	Greg Laswell	Girls Just Want To Have Fun	spotify:track:3Qy9NQhUhXKQFXWEBjm4UI
Personal Jesus	Johnny Cash	American IV: The Man Comes Around	spotify:track:5dcwiQFqn0mTcWewYIv7MV
Love Will Tear Us Apart	Evelyn Evelyn	Evelyn Evelyn	spotify:track:3Svtnpfh3ytKY12khvv6h1
Pride, In The Name of Love	John Legend	Yes We Can: Voices Of A Grassroots Movement	spotify:track:4AqE8a9kL0VScOm9AW8Lza
Smells Like Teen Spirit - Radio Edit	Patti Smith	Outside Society	spotify:track:58cKWhCT3I4yhxtNpBlMli
Smells Like Teen Spirit - 2015 Remaster	Tori Amos	Little Earthquakes (Deluxe Edition)	spotify:track:1kWqRB6PHLM9QTfaXuHpIV
All Apologies	Sinéad O'Connor	Universal Mother	spotify:track:1SquBBWJ2qIUAt6GiKZpsq
Hey Ya - solo version	Obadiah Parker	The Tip Jar Volume One	spotify:track:6QeLUyIfNHCJhEMSPGwDgi
With Or Without You - BBC Jo Whiley Session / 2004	Keane	Hopes And Fears (Deluxe Edition)	spotify:track:1hKatvvaKADQVmEPIob9e8
Landslide - Remastered	The Smashing Pumpkins	Pisces Iscariot (Deluxe)	spotify:track:6N7JMoaUYgo4pwPgsnSobr
Norwegian Wood	Heather Nova	Lennon Bermuda	spotify:track:2EK3UM0CKpjxMVk6JWRONr
Tainted Love	Hannah Peel	Rebox	spotify:track:0veEsZjFQOLS0H0xXVyrtu
Bizarre Love Triangle - Live from Spotify NYC	Echosmith	Spotify Sessions	spotify:track:5g5M6CQIy5boBdxhKo8bxU
This Must Be the Place (Naive Melody) [by Talking Heads]	Kishi Bashi	7" Singles	spotify:track:0udJrKQOgJz6TwZXuhi7IM
Somewhere Only We know - Live from Spotify, London	Lily Allen	Spotify Sessions	spotify:track:7FnHpKPgVC6GE0RRCJNB2T
Show Me The Meaning Of Being Lonely	Anna Ternheim	For The Young	spotify:track:4AxIU7R7grPIgl8m6xhvke
Losing My Religion - The Voice Performance	Dia Frampton	Losing My Religion (The Voice Performance)	spotify:track:0Q5U5alAt2pjop9331E5cQ
Paranoid Android	Sia	Exit Music: Songs With Radio Heads	spotify:track:2o8QYkTODvc2JhZWatfnRG
Hotline Bling	Kalle Mattson	Hotline Bling	spotify:track:71gWiiWxYqp2p4DYAnNQay
I Touch Myself - Live in NYC	Julia Stone	Spotify Sessions	spotify:track:7aJEEuTo97fpMSiFPsbbSA
There Is a Light That Never Goes Out	Dum Dum Girls	He Gets Me High	spotify:track:2ZQqzNzi8D4Fp99uj5NAGC
Still Haven't Found What I'm Looking For	Juliet Turner	Even Better Than the Real Thing Vol. 3	spotify:track:0pQ97WL2JjfaHFByXSlBkJ
Don't Speak	Sarah Menescal	The Voice of the New Bossa Nova	spotify:track:5BxPC0hfPuUEq2vruFZLFh
Dancing Queen	Erato	Dancing Queen	spotify:track:7EfG2ksEzOhZ8olWDi36rd
Somebody to Love	Branches	Covers	spotify:track:0L9fWUcLnPIf5Z7rljJ8Mm
With or Without You	Cunnie Williams	Star Hotel	spotify:track:1wqYkwM0okOXdfM3JZuAuw
Logical Song	Small Is Beautiful	10 years, 5 songs	spotify:track:6XMYaFARz1buYl9NBX8Wog
Blue Monday	Hannah Peel	Rebox	spotify:track:0UCqoj2SUbOMh5QCNMVECP
Total Eclipse of the Heart	Sleeping At Last	Covers, Vol. 1	spotify:track:1650yatyByhD11nXbD8ktd
Just Like Heaven	The Watson Twins	Fire Songs	spotify:track:6HSwdJ6rsfBkUnz6BEsxLN
Fade Into You	Ben Harper	Sweetheart 2014	spotify:track:0CUoECt9C8MfiQWoEijQpb
Oops!... I Did It Again	Julia Zahra	Julia van der Toorn	spotify:track:1KEUxTw1O2z0QKBBz8w0ZU
Sunday Morning	BØRNS, Petite Meller	Sunday Morning	spotify:track:2zqd6xGuFVYeh16DN2UAek
Never Gonna Give You Up	Hannah Trigwell	Cover Sessions, Vol. 2	spotify:track:4kgRgBDdyIg0J67LvUbvtR
Roxanne	Michael Paynter	Money On Your Tongue	spotify:track:7lJ3lmdRszOoNak01nVpCH
Time After Time - The Voice Performance	Javier Colon	Time After Time (The Voice Performance)	spotify:track:03yihw8LFlfZ3EfaLk1A1A
Can’t Help Falling In Love - Live At Daytrotter	Ingrid Michaelson	Be OK	spotify:track:2nOkNoBuQdo5HH0Ls1zXxS
Kiss Me - AOL Sessions Acoustic Version	Sixpence None The Richer	AOL Sessions	spotify:track:79z7dHVpP3ODaat0CK29db
Roxanne - Single Version	Sofia Essaidi	Mon Cabaret	spotify:track:5iQWwNyzXZrub7mhBuWk6B
Walk of Life	Bhi Bhiman	Walk of Life	spotify:track:7y0Unnw8MJEM3enxpoaxeF
Bizarre Love Triangle - 2014 Remaster	Frente!	Marvin The Album - 21st Anniversary Edition	spotify:track:7sgi66biRYpAXuRZJBDuli
Every Little Thing She Does Is Magic	Flower Power	80's in Jazz: Smooth Jazzy Pop Greats (Love is in the Air, Stayin' Alive, Whose Side Are You On, Thriller e tante altre)	spotify:track:1WDYRWadu4TLIKiLXmokGK
Turn! Turn! Turn!	Dan Zanes, Elizabeth Mitchell	Turn Turn Turn	spotify:track:3eFNRykgZuPJPaqOrNO0kF
God Only Knows	Monalisa Twins	MonaLisa Twins Play Beatles & More	spotify:track:3OFcDTqemf7EosLfMCtAPo
Every Breath You Take	Karen Souza	Karen Souza Essentials	spotify:track:4u2b3QdJ6FkyaaTK0TrRQR
Don't You (Forget About Me)	KT Tunstall	Songs To Save A Life In Aid Of Samaritans	spotify:track:6OX9WPnZq1NmtnzQTbMdmv
Bizarre Love Triangle	BSO	Publicidad	spotify:track:3l4G01QMNTFGxTX69z4pP3
Call Me Maybe	Alex G	Call Me Maybe	spotify:track:2VG1NIvcTmtQi2lhbxj3xq
Fields Of Gold	Eva Cassidy	Songbird	spotify:track:5vtOJrmovXGxGsnAck694H
Losing My Religion - Live From Oosterpoort,Netherlands/2001	Anouk	Update	spotify:track:6L0zkASp1b66hmLiM7hd6J
No Woman, No Cry	Karizma Duo	Acoustic Duo	spotify:track:736ayK6HcHeSymBfvQ4uQR
Lovefool	Kat Edmonson	Take To The Sky	spotify:track:1N7lfz33PThaKXXOrSluxv
Time After Time - 2013 Remaster	Everything But The Girl	Worldwide (Deluxe Edition)	spotify:track:2oegLRxfDf5umztOjf13sU
Losing My Religion	Jacqui Naylor	You Don't Know Jacq	spotify:track:3zV5iYPyZUgcaFCcPem3ZN
Boys Don't Cry	Jamie Lancaster	Joyride	spotify:track:31XtkHoLg505WRaO8Ly8RR
Everybody Wants To Rule The World - From “The Hunger Games: Catching Fire” Soundtrack	Lorde	The Hunger Games: Catching Fire (Original Motion Picture Soundtrack)	spotify:track:6zLq4lYSu2W7LLxJlUWzz8
New Years Day	ASLAN	Even Better Than the Real Thing Vol. 3	spotify:track:6WZlAl8dhuBBoMwHeKtTDm
California Dreamin'	Amason	California Airport Love	spotify:track:41uHv2ZIT0YDUHoyNzvRQ1
Like a Virgin	The Cooltrane Quartet	Cool Jazz Blends	spotify:track:16fmIwizFevhtedsBsHRIe
Electric Feel	Jason Joseph & The Spectacular	Don't Let Go / Electric Feel	spotify:track:4XY2eiZpUto9Ji2NoGuKKe
Clocks	Personal Belongings	Personal Belongings	spotify:track:1s5O2wmmKTDDB2Zwrp0oNH
All My Loving	Rita Lee	Aqui, Ali, Em Qualquer Lugar	spotify:track:5dIZa3pwSn1vDenZpSBEFO
Song 2	Emm Gryner	Girl Versions	spotify:track:1yHlh2oJHgsVr26RYdEi71
Heroes	Janelle Monáe	Heroes (Pepsi Beats Of The Beautiful Game)	spotify:track:63ouCvRO1W9dpCl4D9Iotz
Enjoy The Silence	Carla Bruni	French Touch	spotify:track:4PZa10hp40IiPySg7MGYbl
Solsbury Hill	Kyte	Two Sparks, Two Stars	spotify:track:6bYpL7OVWeBk58CRZMWHmA
I Melt with You	Nouvelle Vague, Silja	Nouvelle vague	spotify:track:65zLNCRs7lDEkah5vuNZDt
Sultans of Swing	Leo Giannetto's Jazz Project	Pop Jazz Performances	spotify:track:6c6XUrwnDF0ltAYZZNX8GY
Rebel Rebel	John Vanderslice	John Vanderslice Plays David Bowie's Diamond Dogs	spotify:track:5EixGHroC6z0JFhjOxSo1I
Light My Fire - Remastered	José Feliciano	Feliciano	spotify:track:1348ERWpfnXaKiMQSMjBu1
Please, Please, Please, Let Me Get What I Want	She & Him	(500) Days of Summer (Music from the Motion Picture)	spotify:track:3XcYPyuk0BwiB4w6tgKpOC
Viva La Vida - Acoustic Version	Sofia Karlberg	Viva La Vida (Acoustic Version)	spotify:track:1JlS2AdTKUewprEVwfHWk3
Strawberry Fields Forever	Karen Souza, Los Panchos	Karen Souza Essentials	spotify:track:5rnE9eTK56v1cUub8BAKeL
Lithium	Bruce Lash	Prozak for Lovers II	spotify:track:63AqIb6Z0o9QlZzmOeZWAL
Yesterday	Betty Says	Jazz and Essentials	spotify:track:5oi4uUko19UklxsIDFMYh6
Eleanor Rigby	Joan Baez	Joan	spotify:track:11g7tN5EprSCIwASIN6Jxn
Always On My Mind	Ane Brun	Leave Me Breathless	spotify:track:6xgZswMoI5ncV8e5jhiRsC
Maps (Acoustic) [feat. Ali Brustofski]	Corey Gray, Ali Brustofski	Maps (Acoustic) [feat. Ali Brustofski]	spotify:track:4R2oHU0vr7wpDvbIxXzFGN
Running Up That Hill	Placebo	Covers	spotify:track:6RHHbAbyIcPpvS1dP3KUGq
1979	Darlingside	Whippoorwill	spotify:track:2xq0fx3i99PG6VRc4EDc7B
1979	The Contortionist	Our Bones	spotify:track:33dw9ePKar5xFUrTIKUh6G

emo
reindeer games	Oso Oso	the yunahon mixtape	spotify:track:5sqQpQ3WUEGYimbHvAi2o2
Casual Discussion in a Dome Between Two Temples	Algernon Cadwallader	Some Kind of Cadwallader	spotify:track:2wAVaUtp3bSg94qB8GeW7N
Spit Fountain	Algernon Cadwallader	Algernon Cadwallader	spotify:track:7EUYYZnCgqZnGpwPyesEyf
Rose of Sharon	Title Fight	Hyperview	spotify:track:2kSffFiuuEcczXi6VMzrNQ
